,Importance
SibSp,0.0
Embarked_Q,0.0
Parch,0.0008334302719615211
Embarked_S,0.038309333646748475
Fare,0.055615181088012215
Age,0.10527470796592985
Pclass,0.2064508421871159
Sex_male,0.593516504840232
